Branch_name,Vehicle_Make,Year_Manufacture,Loan_Tenure,Interest_Rate,Annual_Income,Loan_Amount
"JLN MASJID LAMA, SARIKEI         ",PERODUA,2019,108,0.0469," RM48,001 - RM72,000",38900
PANDAN PERDANA BRANCH,SUBARU,2018,84,0.0388," RM72,001 - RM96,000",105000
PRAI BRANCH,HONDA,2019,84,0.0387," RM24,001 - RM48,000",125000
BATU PAHAT BRANCH,PERODUA,2019,108,0.0425," RM24,001 - RM48,000",67600
TAMAN SRI TEBRAU,PEUGEOT,2019,108,0.0401," RM48,001 - RM72,000",97000
PUCHONG JAYA,VOLKSWAGEN,2019,36,0.0401," Above RM120,000    ",60000
TAMAN SRI TEBRAU,PERODUA,2018,108,0.0479," RM24,001 - RM48,000",50300
KOTA KINABALU API API,PERODUA,2019,108,0.0421," RM24,001 - RM48,000",61000
"JLN SULTAN BADLISHAH, ALOR SETAR BRANCH",PROTON,2019,84,0.048," RM72,001 - RM96,000",28900
"PENANG, TIMES SQUARE",TOYOTA,2019,84,0.039," Above RM120,000    ",90000
"JALAN KAPAR, KLANG          ",TOYOTA,2019,84,0.0397, Undisclosed        ,62000
"T.NIAGA JAYA,BKT MERTAJAM   ",TOYOTA,2019,84,0.0392," RM12,001 - RM18,000",60000
SILIBIN BRANCH,PERODUA,2019,108,0.0499," RM72,001 - RM96,000",44400
SANDAKAN BRANCH,TOYOTA,2019,60,0.0393," Above RM120,000    ",100000
IPOH BRANCH,PERODUA,2019,108,0.0484," RM24,001 - RM48,000",44000
"JALAN BESAR, SERI KEMBANGAN BRANCH",VOLKSWAGEN,2019,108,0.0338," RM72,001 - RM96,000",100000
SIBU,PERODUA,2019,108,0.0492," RM12,001 - RM18,000",32200
SEREMBAN BRANCH,NISSAN,2019,108,0.0398," RM48,001 - RM72,000",71400
KOTA KINABALU API API,PROTON,2019,108,0.0493," RM18,001 - RM24,000",36000
TAMAN SRI TEBRAU,PERODUA,2019,84,0.0445," RM24,001 - RM48,000",50400
SS2 PJ,PERODUA,2019,60,0.0448," RM48,001 - RM72,000",38000
KL MAIN (EON BUILDING),HONDA,2019,108,0.0403," RM48,001 - RM72,000",80000
PASIR GUDANG,PERODUA,2019,84,0.0453," RM24,001 - RM48,000",42000
IPOH GARDEN BRANCH,SUBARU,2019,108,0.0388," RM24,001 - RM48,000",117000
"KAMUNTING, PERAK            ",PROTON,2019,108,0.0485, Undisclosed        ,35500
"PORT KLANG, SELANGOR         ",PERODUA,2019,84,0.0457," RM24,001 - RM48,000",40900
KL MAIN (EON BUILDING),PROTON,2019,84,0.0457," RM48,001 - RM72,000",36900
"PUSAT DAGANGAN BAKRI,MUAR",HONDA,2018,108,0.0401," RM24,001 - RM48,000",100000
CHERAS BRANCH,HONDA,2019,108,0.0406," RM24,001 - RM48,000",151300
"TAMAN SETIA TROPIKA, JOHOR",PERODUA,2019,60,0.0457," RM72,001 - RM96,000",32000
BANDAR SRI AMAN,PERODUA,2019,84,0.0451," RM72,001 - RM96,000",47500
"PUSAT DAGANGAN BAKRI,MUAR",PERODUA,2019,108,0.0481," RM24,001 - RM48,000",34800
SEREMBAN 2,PERODUA,2019,108,0.0494," RM24,001 - RM48,000",48700
LAHAD DATU,PERODUA,2019,60,0.046," Above RM120,000    ",30000
"PUSAT DAGANGAN BAKRI,MUAR",PERODUA,2019,108,0.0419," RM96,001 - RM120,000",72200
TAMAN SRI TEBRAU,PERODUA,2018,108,0.0476," RM24,001 - RM48,000",50000
TAMAN SRI TEBRAU,PROTON,2019,108,0.0484," RM48,001 - RM72,000",40000
KL MAIN (EON BUILDING),MAZDA,2018,108,0.0399," Above RM120,000    ",100000
KEPONG INDUSTRIAL PARK,PROTON,2019,36,0.0472," Above RM120,000    ",36600
TAMAN ABAD,MAZDA,2019,108,0.0392," Above RM120,000    ",140000
SEREMBAN 2,PERODUA,2019,108,0.0485," RM48,001 - RM72,000",38800
TAMAN SRI TEBRAU,HONDA,2018,108,0.0401," RM48,001 - RM72,000",98000
"TAMAN SUNTEX, CHERAS",HONDA,2019,108,0.04," RM48,001 - RM72,000",108000
KL MAIN (EON BUILDING),HYUNDAI,2019,108,0.0398," Above RM120,000    ",150000
SEREMBAN 2,PROTON,2018,108,0.0505," RM24,001 - RM48,000",34600
"BANDAR BOTANIC, SELANGOR",PERODUA,2019,108,0.0433," RM24,001 - RM48,000",72300
SS2 PJ,NISSAN,2019,108,0.0393, Undisclosed        ,120000
JELUTONG,TOYOTA,2019,108,0.0389," RM48,001 - RM72,000",78000
TAMAN SRI TEBRAU,PERODUA,2019,60,0.0444," RM72,001 - RM96,000",45800
PUCHONG JAYA,NISSAN,2019,108,0.0411," RM24,001 - RM48,000",62900
PUCHONG JAYA,MAZDA,2019,60,0.0368," Above RM120,000    ",238000
SUBANG JAYA BRANCH,MAZDA,2019,84,0.0391," RM96,001 - RM120,000",100000
PUCHONG JAYA,PERODUA,2019,108,0.0504," RM48,001 - RM72,000",32000
TAMAN SRI TEBRAU,PROTON,2019,84,0.0453," RM48,001 - RM72,000",43000
"TMN KULAI UTAMA, JB ",FORD,2018,108,0.0405," RM72,001 - RM96,000",100000
"JALAN KAPAR, KLANG          ",NISSAN,2019,108,0.0399," RM24,001 - RM48,000",66000
ALOR SETAR BRANCH,PROTON,2019,60,0.0398," RM24,001 - RM48,000",100000
KOTA KINABALU PANTAI,TOYOTA,2019,108,0.039," Above RM120,000    ",140000
SEREMBAN 2,PROTON,2019,108,0.049," RM24,001 - RM48,000",35000
KL MAIN (EON BUILDING),MAZDA,2019,108,0.0398," Above RM120,000    ",135000
PUCHONG JAYA,HONDA,2019,108,0.0395," RM96,001 - RM120,000",100600
PUCHONG JAYA,MAZDA,2019,48,0.0388," Above RM120,000    ",110000
SIBU,PERODUA,2019,108,0.0491," RM12,001 - RM18,000",36300
"KAMUNTING, PERAK            ",PERODUA,2019,108,0.049," RM12,001 - RM18,000",35400
TAMAN SRI TEBRAU,HONDA,2019,84,0.0396," Above RM120,000    ",68600
KUCHING RH PLAZA,PROTON,2019,72,0.0453," RM96,001 - RM120,000",45000
TAMAN SRI TEBRAU,VOLKSWAGEN,2019,108,0.0406," RM24,001 - RM48,000",79500
SETAPAK BRANCH,MAZDA,2019,84,0.0379," Above RM120,000    ",170000
TAMAN MIDAH,PERODUA,2019,84,0.0472," RM24,001 - RM48,000",33000
TAMAN SRI TEBRAU,TOYOTA,2019,84,0.0387," RM72,001 - RM96,000",72000
DAMANSARA PERDANA BRANCH,HONDA,2019,108,0.0402," RM24,001 - RM48,000",89000
"JALAN KAPAR, KLANG          ",TOYOTA,2019,108,0.04," RM48,001 - RM72,000",81000
"CTRL PARK COMM CTR, KCG ",MERCEDES BENZ,2019,84,0.0383," Above RM120,000    ",200000
KUANTAN BRANCH,KIA,2019,108,0.0406, Undisclosed        ,150000
"PUSAT DAGANGAN BAKRI,MUAR",PERODUA,2019,108,0.0462, Undisclosed        ,36200
KROKOP ,PROTON,2019,108,0.0492, Undisclosed        ,35500
TAMAN MIDAH,PERODUA,2019,108,0.0419," RM24,001 - RM48,000",70800
TAMAN JOHOR JAYA BRANCH,TOYOTA,2019,60,0.0405," Above RM120,000    ",70000
TAMAN SRI TEBRAU,PERODUA,2019,108,0.049," RM18,001 - RM24,000",38100
"JALAN BESERAH, KUANTAN   ",HONDA,2018,108,0.0411," RM24,001 - RM48,000",77000
"JALAN KAPAR, KLANG          ",NISSAN,2019,108,0.0399," RM48,001 - RM72,000",65500
SETAPAK BRANCH,PERODUA,2019,108,0.0471," RM24,001 - RM48,000",41400
TAMAN SRI RAMPAI BRANCH,PROTON,2019,108,0.04," RM24,001 - RM48,000",107000
"TMN KULAI UTAMA, JB ",PROTON,2019,60,0.0404, Undisclosed        ,60000
KOTA TINGGI BRANCH,PROTON,2018,60,0.0396," RM72,001 - RM96,000",90000
KOTA KINABALU API API,HONDA,2019,108,0.039, Undisclosed        ,121700
TAMAN SRI TEBRAU,PERODUA,2019,84,0.0468," RM24,001 - RM48,000",36700
TELUK INTAN BRANCH,PROTON,2019,108,0.0473," RM18,001 - RM24,000",47900
PUCHONG JAYA,PERODUA,2019,60,0.0408," RM72,001 - RM96,000",65000
KUCHING RH PLAZA,TOYOTA,2019,108,0.04," RM48,001 - RM72,000",114400
LEGENDA HEIGHTS,TOYOTA,2019,108,0.0388," RM72,001 - RM96,000",111000
DESA SRI HARTAMAS BRANCH,PROTON,2019,60,0.0389," Above RM120,000    ",90000
"JALAN KAPAR, KLANG          ",NISSAN,2019,108,0.0407," RM24,001 - RM48,000",72000
TAMAN SRI TEBRAU,MERCEDES BENZ,2019,108,0.0396," RM72,001 - RM96,000",207000
CHERAS BRANCH,HONDA,2019,84,0.0386," RM24,001 - RM48,000",100000
TAMAN SRI TEBRAU,KIA,2019,108,0.0402," RM24,001 - RM48,000",53600
"BANDAR BOTANIC, SELANGOR",PERODUA,2019,84,0.0463," Above RM120,000    ",30000
BANDAR SUNGAI LONG,HONDA,2019,60,0.0402," RM72,001 - RM96,000",68000
BATU PAHAT BRANCH,HONDA,2019,108,0.0408," RM48,001 - RM72,000",65000
BINTULU BRANCH,PERODUA,2019,108,0.048," RM72,001 - RM96,000",36000
TELUK INTAN BRANCH,TOYOTA,2019,108,0.0394," RM48,001 - RM72,000",61700
TAMAN SRI TEBRAU,SUBARU,2019,108,0.0398," RM96,001 - RM120,000",133000
KOTA KINABALU API API,PROTON,2019,84,0.0461," RM24,001 - RM48,000",32000
"JALAN KAPAR, KLANG          ",TOYOTA,2019,60,0.0395," RM72,001 - RM96,000",60000
"PUSAT DAGANGAN BAKRI,MUAR",PERODUA,2019,108,0.0485, Undisclosed        ,22500
"JLN HAJI SAMAN, KOTA KINABALU BRANCH",HONDA,2019,84,0.0385," RM24,001 - RM48,000",80000
TAMAN SRI TEBRAU,PROTON,2019,108,0.0495," RM24,001 - RM48,000",44700
KOTA KENMUNING,HONDA,2019,36,0.0401," Above RM120,000    ",70000
TAMAN SRI TEBRAU,PERODUA,2019,60,0.0463," RM48,001 - RM72,000",34000
"T.NIAGA JAYA,BKT MERTAJAM   ",PROTON,2019,108,0.0475," RM18,001 - RM24,000",46200
"BANDAR BOTANIC, SELANGOR",TOYOTA,2019,48,0.0392," RM96,001 - RM120,000",60000
"KAMUNTING, PERAK            ",PERODUA,2019,108,0.0504," RM18,001 - RM24,000",22000
"TMN KULAI UTAMA, JB ",PROTON,2019,84,0.04," RM96,001 - RM120,000",98400
"L. THEAN TEIK,AYER ITAM     ",TOYOTA,2019,60,0.0399," RM48,001 - RM72,000",40000
"T.NIAGA JAYA,BKT MERTAJAM   ",PERODUA,2019,72,0.0422," RM48,001 - RM72,000",60700
TAMAN SRI TEBRAU,PERODUA,2019,108,0.0483," Above RM120,000    ",43000
TAMAN SRI TEBRAU,PERODUA,2019,60,0.0502," RM12,001 - RM18,000",15000
"BANDAR BUKIT TINGGI, KLANG BRANCH",PROTON,2019,60,0.0388," RM72,001 - RM96,000",95000
MENTAKAB BRANCH,PERODUA,2019,84,0.0413," RM48,001 - RM72,000",70000
"JALAN KAPAR, KLANG          ",HONDA,2019,108,0.0393," RM48,001 - RM72,000",69000
TEMERLOH BRANCH,PROTON,2019,108,0.0478," RM96,001 - RM120,000",38300
"HUMPHREY STREET, SANDAKAN BRANCH",PROTON,2019,108,0.0479," RM24,001 - RM48,000",37700
TAMAN SRI TEBRAU,PERODUA,2019,60,0.0443," RM48,001 - RM72,000",44000
TAMAN SRI TEBRAU,PERODUA,2019,108,0.0424," RM24,001 - RM48,000",72200
BAHAU BRANCH,PROTON,2019,108,0.048," RM24,001 - RM48,000",47000
PUCHONG JAYA,NISSAN,2019,108,0.0396," RM72,001 - RM96,000",129200
AYER TAWAR,PROTON,2018,108,0.05," RM24,001 - RM48,000",33000
TAMAN TUN DR ISMAIL BRANCH,PROTON,2019,108,0.049," Above RM120,000    ",24800
PETALING JAYA BRANCH,MAZDA,2019,108,0.0387," RM48,001 - RM72,000",130000
TAMAN MIDAH,TOYOTA,2019,60,0.0393, Undisclosed        ,115000
PUCHONG JAYA,HONDA,2019,84,0.0381," Above RM120,000    ",135000
MELAKA TMR1,HONDA,2018,108,0.0403," RM72,001 - RM96,000",100000
KUANTAN BRANCH,PROTON,2019,108,0.0484," RM18,001 - RM24,000",30000
"JALAN GENUANG, SEGAMAT   ",PERODUA,2019,108,0.0465," RM48,001 - RM72,000",52900
KOTA KINABALU API API,HONDA,2019,108,0.0403," RM48,001 - RM72,000",79300
TAMAN TUN DR ISMAIL BRANCH,PERODUA,2019,108,0.0468, Undisclosed        ,48400
PUCHONG JAYA,NISSAN,2019,108,0.0391," Above RM120,000    ",100000
CHERAS BRANCH,PERODUA,2019,84,0.0453," RM24,001 - RM48,000",36000
SEREMBAN 2,PERODUA,2019,108,0.041," RM48,001 - RM72,000",62200
TAMAN SRI TEBRAU,PERODUA,2019,108,0.0495," RM24,001 - RM48,000",31900
TAMAN SRI TEBRAU,NISSAN,2018,108,0.0404," RM96,001 - RM120,000",96000
AMAN PURI,PERODUA,2018,108,0.048," RM24,001 - RM48,000",45700
KOTA KINABALU API API,MITSUBISHI,2019,108,0.04," RM24,001 - RM48,000",93300
TAMAN SRI TEBRAU,PERODUA,2019,108,0.0477," RM24,001 - RM48,000",31800
PONTIAN,MAZDA,2019,84,0.0393," RM48,001 - RM72,000",87500
PUCHONG JAYA,PERODUA,2019,84,0.0478," RM24,001 - RM48,000",50200
BUKIT BINTANG,BMW,2019,60,0.0371," Above RM120,000    ",170000
TAMAN SRI TEBRAU,HONDA,2019,108,0.0405," RM48,001 - RM72,000",80600
TAMAN SRI TEBRAU,HONDA,2019,84,0.0395," RM72,001 - RM96,000",75000
"KAJANG, SELANGOR             ",PROTON,2019,108,0.0481," RM24,001 - RM48,000",34600
LABUAN BRANCH,HONDA,2019,108,0.041," Above RM120,000    ",51800
MENTAKAB BRANCH,TOYOTA,2019,60,0.0396," RM72,001 - RM96,000",60000
TAMAN SRI TEBRAU,HONDA,2019,84,0.0395," RM24,001 - RM48,000",105000
KUALA SELANGOR BRANCH,TOYOTA,2019,60,0.0385," RM72,001 - RM96,000",67000
PUCHONG JAYA,MAZDA,2019,108,0.0394," RM48,001 - RM72,000",113000
"CTRL PARK COMM CTR, KCG ",HONDA,2019,108,0.0392," RM96,001 - RM120,000",73000
TAMAN ABAD,TOYOTA,2019,108,0.0408," RM96,001 - RM120,000",83000
AMAN PURI,PERODUA,2019,108,0.0474," RM18,001 - RM24,000",32000
TAMAN SRI TEBRAU,PERODUA,2019,84,0.0484," RM96,001 - RM120,000",39300
TAMAN SRI TEBRAU,MAZDA,2019,60,0.039," Above RM120,000    ",70000
KEPONG BRANCH,NISSAN,2018,36,0.0419," RM72,001 - RM96,000",50000
"SEKSYEN 3, BANDAR SEMENYIH BRANCH",PERODUA,2019,108,0.0464," RM48,001 - RM72,000",32600
SS2 PJ,HONDA,2019,108,0.0404," RM24,001 - RM48,000",70600
TAMAN SRI TEBRAU,PERODUA,2019,84,0.0451," RM72,001 - RM96,000",46000
KL MAIN (EON BUILDING),HONDA,2019,108,0.0396," RM24,001 - RM48,000",68700
PUCHONG JAYA,PROTON,2019,84,0.0383," Above RM120,000    ",100000
TAMAN MIDAH,PERODUA,2019,60,0.0469, Undisclosed        ,27500
TAMAN SRI TEBRAU,PERODUA,2019,108,0.0483," RM24,001 - RM48,000",47000
PUCHONG JAYA,MAZDA,2019,84,0.039," RM48,001 - RM72,000",110000
"BANDAR BOTANIC, SELANGOR",PERODUA,2019,108,0.05," RM24,001 - RM48,000",35000
GURUN,PERODUA,2019,60,0.0449," RM24,001 - RM48,000",40000
SEVENTH MILE BAZAAR BRANCH,LEXUS,2018,60,0.0375," RM72,001 - RM96,000",300000
KL MAIN (EON BUILDING),HONDA,2018,48,0.0392," Above RM120,000    ",100000
MELAKA TMR1,PERODUA,2019,72,0.046," RM24,001 - RM48,000",44000
TAMAN SRI TEBRAU,TOYOTA,2019,84,0.0399," RM24,001 - RM48,000",67300
SITIAWAN BRANCH,TOYOTA,2019,108,0.0389," RM48,001 - RM72,000",100000
PUCHONG JAYA,TOYOTA,2019,108,0.0389," RM72,001 - RM96,000",75500
TAMAN SRI TEBRAU,PROTON,2019,108,0.04," RM72,001 - RM96,000",114000
SERENDAH,PERODUA,2019,108,0.05," RM18,001 - RM24,000",32000
PUCHONG JAYA,HONDA,2019,60,0.0386," RM12,001 - RM18,000",91000
ALOR SETAR BRANCH,PERODUA,2019,96,0.0418," RM48,001 - RM72,000",60000
PUCHONG JAYA,PERODUA,2019,108,0.0488," RM48,001 - RM72,000",33700
TAMAN ABAD,KIA,2019,108,0.0403," RM72,001 - RM96,000",77600
BANDAR SRI AMAN,TOYOTA,2019,84,0.0395," RM72,001 - RM96,000",90000
TAMAN SRI TEBRAU,PERODUA,2019,60,0.0463," RM96,001 - RM120,000",40000
KOTA KINABALU API API,PERODUA,2019,108,0.0491," RM24,001 - RM48,000",44100
MELAKA TMR1,PERODUA,2019,108,0.0455," RM72,001 - RM96,000",50500
TAMAN MIDAH,HONDA,2019,108,0.0395," RM72,001 - RM96,000",100000
PUCHONG JAYA,PERODUA,2019,60,0.046," RM96,001 - RM120,000",30000
SEREMBAN 2,PERODUA,2019,108,0.049," RM18,001 - RM24,000",31900
KOTA KINABALU PANTAI,PERODUA,2019,108,0.0488, Undisclosed        ,35500
PUCHONG JAYA,PERODUA,2019,84,0.0451," RM24,001 - RM48,000",41500
SS2 PJ,HONDA,2019,84,0.0382," Above RM120,000    ",151500
SEREMBAN 2,PROTON,2018,108,0.049," RM24,001 - RM48,000",36700
KEPONG INDUSTRIAL PARK,ISUZU,2018,84,0.0397," RM24,001 - RM48,000",77600
KL MAIN (EON BUILDING),BMW,2019,60,0.0376," Above RM120,000    ",249000
TANGKAK BRANCH,PROTON,2018,108,0.0481," RM96,001 - RM120,000",33800
KOTA KINABALU API API,PROTON,2019,108,0.0485," RM72,001 - RM96,000",48500
KOTA KINABALU API API,PERODUA,2019,108,0.0487," RM12,001 - RM18,000",34100
"PUSAT DAGANGAN BAKRI,MUAR",KIA,2019,84,0.038," RM96,001 - RM120,000",140000
"UKAY PERDANA, SELANGOR",PERODUA,2019,108,0.0421," RM48,001 - RM72,000",70000
"PUSAT DAGANGAN BAKRI,MUAR",PROTON,2018,108,0.0484," RM24,001 - RM48,000",30000
TAMAN SRI TEBRAU,HONDA,2019,108,0.0397," RM72,001 - RM96,000",76800
TAMAN MIDAH,PERODUA,2019,84,0.0454, Undisclosed        ,46700
PUCHONG JAYA,HONDA,2019,108,0.0396," RM48,001 - RM72,000",83000
SS2 PJ,HONDA,2019,108,0.0392," RM24,001 - RM48,000",76800
TAMAN SRI TEBRAU,MITSUBISHI,2019,84,0.0381," RM48,001 - RM72,000",127000
LEGENDA HEIGHTS,MAZDA,2019,84,0.0388," RM24,001 - RM48,000",100000
LANGKAP,PROTON,2019,60,0.0393," RM96,001 - RM120,000",70000
TAMAN MALURI BRANCH,PERODUA,2019,108,0.048," RM24,001 - RM48,000",37000
"T.NIAGA JAYA,BKT MERTAJAM   ",HONDA,2019,108,0.0403," RM24,001 - RM48,000",74000
PUCHONG JAYA,BMW,2019,108,0.0388," Above RM120,000    ",176000
BINTULU BRANCH,HONDA,2019,108,0.0409," RM48,001 - RM72,000",75100
"MENJALARA, KUALA LUMPUR",PERODUA,2019,108,0.0415," RM48,001 - RM72,000",72300
PUCHONG JAYA,TOYOTA,2019,108,0.0403," RM24,001 - RM48,000",75700
KUALA SELANGOR BRANCH,PERODUA,2019,108,0.0475," RM24,001 - RM48,000",39000
KUCHING RH PLAZA,PERODUA,2019,108,0.051," RM24,001 - RM48,000",35400
BATU PAHAT BRANCH,PERODUA,2019,108,0.0472," RM18,001 - RM24,000",34500
BATU PAHAT BRANCH,PROTON,2019,108,0.048," RM18,001 - RM24,000",35500
"JLN SULTAN IDRIS SHAH, IPOH BRANCH",PERODUA,2019,84,0.0425," RM48,001 - RM72,000",42000
"SELAYANG, KUALA LUMPUR    ",PROTON,2019,60,0.046, Undisclosed        ,40000
KOTA BHARU 1,HONDA,2019,108,0.0397," RM48,001 - RM72,000",81000
PUCHONG JAYA,MERCEDES BENZ,2019,84,0.0384," Above RM120,000    ",200000
BATU PAHAT BRANCH,HONDA,2019,108,0.04," RM96,001 - RM120,000",108400
TELUK INTAN BRANCH,MAZDA,2019,108,0.0387," RM72,001 - RM96,000",140000
"JALAN KAPAR, KLANG          ",TOYOTA,2019,84,0.0394," RM72,001 - RM96,000",81000
BATU PAHAT BRANCH,TOYOTA,2019,72,0.0395," RM24,001 - RM48,000",50000
KOTA KINABALU API API,PERODUA,2019,108,0.0492," RM48,001 - RM72,000",33500
PENANG BRANCH,PERODUA,2019,108,0.0483," RM24,001 - RM48,000",48000
SIBU,NISSAN,2018,108,0.0401," RM72,001 - RM96,000",100000
"JALAN KAPAR, KLANG          ",TOYOTA,2019,60,0.04," Above RM120,000    ",50000
"T.NIAGA JAYA,BKT MERTAJAM   ",PROTON,2018,108,0.0504," RM24,001 - RM48,000",35300
DUNGUN BRANCH,PERODUA,2019,108,0.048," RM18,001 - RM24,000",44100
KULIM BRANCH,PERODUA,2019,60,0.0479," RM48,001 - RM72,000",21100
RAWANG BRANCH,TOYOTA,2019,108,0.0394," RM48,001 - RM72,000",64000
KOTA KINABALU API API,ISUZU,2018,108,0.0408," RM24,001 - RM48,000",105000
SERENDAH,HONDA,2019,108,0.0402," RM48,001 - RM72,000",87000
KOTA KINABALU API API,PERODUA,2019,108,0.0499," RM24,001 - RM48,000",23000
BATU BERENDAM,HONDA,2019,108,0.0392," RM48,001 - RM72,000",97500
SEREMBAN BRANCH,PERODUA,2019,84,0.0455," RM24,001 - RM48,000",40000
"JALAN KAPAR, KLANG          ",PROTON,2019,108,0.0398," RM96,001 - RM120,000",101800
"KAJANG, SELANGOR             ",PROTON,2019,108,0.0482," RM24,001 - RM48,000",33200
DAMANSARA CITY BRANCH,VOLKSWAGEN,2019,84,0.0394," RM24,001 - RM48,000",55000
TAMAN SRI TEBRAU,MAZDA,2019,84,0.0389," Above RM120,000    ",130000
LABIS BRANCH,HONDA,2019,60,0.0396," Above RM120,000    ",60000
TAMAN DANAU DESA BRANCH,PERODUA,2019,48,0.0465, Undisclosed        ,32600
MELAKA TMR1,PROTON,2018,108,0.0497," RM24,001 - RM48,000",30000
PANDAN PERDANA BRANCH,PERODUA,2019,60,0.045," RM72,001 - RM96,000",45700
SEREMBAN 2,PERODUA,2019,84,0.0473," RM96,001 - RM120,000",24100
TANGKAK BRANCH,PERODUA,2019,108,0.0497," RM24,001 - RM48,000",50000
PUCHONG JAYA,SUBARU,2018,84,0.0389," RM48,001 - RM72,000",95000
PUCHONG JAYA,HONDA,2019,108,0.0409," RM24,001 - RM48,000",74500
PERMAS JAYA,PERODUA,2019,48,0.0428," RM24,001 - RM48,000",40000
BATU PAHAT BRANCH,PERODUA,2019,108,0.0492," RM48,001 - RM72,000",45600
PONTIAN,HONDA,2019,108,0.0393," RM48,001 - RM72,000",66000
"TAMAN SRI TANMING, CHERAS BRANCH",PEUGEOT,2019,84,0.0383," RM72,001 - RM96,000",100000
"TAMAN SRI SINAR, SEGAMBUT BRANCH",PERODUA,2019,60,0.0479," RM24,001 - RM48,000",32000
KUANTAN BRANCH,PROTON,2019,108,0.0485," RM24,001 - RM48,000",49500
"JALAN BESERAH, KUANTAN   ",MITSUBISHI,2019,108,0.0399," RM96,001 - RM120,000",127000
TAMAN SRI TEBRAU,MITSUBISHI,2018,60,0.039," RM48,001 - RM72,000",100000
MELAKA TMR1,PROTON,2019,60,0.0438," RM24,001 - RM48,000",58000
SS2 PJ,PERODUA,2019,48,0.0511," RM48,001 - RM72,000",20000
TAMAN SRI TEBRAU,PROTON,2019,84,0.0464," RM24,001 - RM48,000",33600
"SEKSYEN 3, BANDAR SEMENYIH BRANCH",HONDA,2019,108,0.0402," RM72,001 - RM96,000",63000
DUNGUN BRANCH,PERODUA,2019,108,0.048," RM24,001 - RM48,000",49500
TAMAN SRI TEBRAU,NISSAN,2019,108,0.0387," RM72,001 - RM96,000",125000
"SEKSYEN 3, BANDAR SEMENYIH BRANCH",HONDA,2019,60,0.0391," RM48,001 - RM72,000",70000
"JALAN KAPAR, KLANG          ",PROTON,2019,60,0.046," RM24,001 - RM48,000",30000
"KOMPLEKS MUNSHI ABDULLAH, MELAKA BRANCH",PROTON,2019,108,0.0514," RM24,001 - RM48,000",34500
TAMAN SRI TEBRAU,PERODUA,2019,60,0.0468, Undisclosed        ,34000
DAMANSARA CITY BRANCH,PERODUA,2019,84,0.0453," RM24,001 - RM48,000",48400
KL MAIN (EON BUILDING),HONDA,2019,108,0.0399," RM24,001 - RM48,000",65000
SILIBIN BRANCH,HONDA,2019,108,0.0404," RM72,001 - RM96,000",70000
"JALAN GENUANG, SEGAMAT   ",PROTON,2019,108,0.0487," RM18,001 - RM24,000",30000
TAMAN SRI TEBRAU,TOYOTA,2019,108,0.0403," RM96,001 - RM120,000",80000
TAMAN SRI TEBRAU,PERODUA,2019,108,0.0458," RM24,001 - RM48,000",50400
SEREMBAN 2,HONDA,2019,84,0.0388," RM96,001 - RM120,000",100000
SIBU,NISSAN,2019,108,0.0416, Undisclosed        ,44900
TAMAN MIDAH,PERODUA,2018,84,0.0464," RM24,001 - RM48,000",44400
"HUMPHREY STREET, SANDAKAN BRANCH",PERODUA,2019,84,0.0469," RM24,001 - RM48,000",45000
KEPONG BRANCH,PERODUA,2019,108,0.047," RM24,001 - RM48,000",30200
LINTAS BRANCH,TOYOTA,2019,72,0.0395," RM24,001 - RM48,000",79100
SEREMBAN 2,PERODUA,2019,60,0.0483," RM24,001 - RM48,000",20000
TAMAN SRI TEBRAU,NISSAN,2018,108,0.0411," RM48,001 - RM72,000",65000
TAMAN SRI TEBRAU,HONDA,2019,108,0.0387," Above RM120,000    ",139600
PUCHONG JAYA,BMW,2019,108,0.0389," Above RM120,000    ",289400
BINTULU BRANCH,PROTON,2019,108,0.0398," RM48,001 - RM72,000",101000
MELAKA TMR1,PERODUA,2019,108,0.0468, Undisclosed        ,36200
BUKIT BINTANG,PERODUA,2019,108,0.0461," RM24,001 - RM48,000",50000
SS2 PJ,PERODUA,2019,108,0.0467, Undisclosed        ,38000
JALAN KELANG LAMA BRANCH,PERODUA,2019,108,0.0493," RM18,001 - RM24,000",44400
KOTA KINABALU API API,PERODUA,2019,108,0.049," RM24,001 - RM48,000",38900
"JALAN BESERAH, KUANTAN   ",HONDA,2019,108,0.04," RM24,001 - RM48,000",109800
PUCHONG JAYA,TOYOTA,2019,60,0.0382," Above RM120,000    ",70000
"TMN KULAI UTAMA, JB ",PERODUA,2019,84,0.0407," RM96,001 - RM120,000",67600
"T.NIAGA JAYA,BKT MERTAJAM   ",PERODUA,2019,108,0.0494," RM24,001 - RM48,000",32900
LIMBANG,PERODUA,2019,60,0.0426," Above RM120,000    ",45000
"JLN SULTAN IDRIS SHAH, IPOH BRANCH",TOYOTA,2019,108,0.0402," RM24,001 - RM48,000",80500
PUCHONG JAYA,SUBARU,2018,108,0.0403," RM48,001 - RM72,000",112000
MELAKA TMR1,PROTON,2019,108,0.047," RM24,001 - RM48,000",60000
BATU PAHAT BRANCH,PROTON,2019,108,0.0476," RM48,001 - RM72,000",43000
BANDAR SRI AMAN,TOYOTA,2019,108,0.04," RM24,001 - RM48,000",116500
"JLN SULTAN IDRIS SHAH, IPOH BRANCH",PERODUA,2019,108,0.0503," RM24,001 - RM48,000",33500
TAMAN SRI TEBRAU,PERODUA,2019,60,0.0481," RM24,001 - RM48,000",26000
PUCHONG JAYA,PROTON,2019,108,0.0467," RM24,001 - RM48,000",29500
